file.name,dc.title,dc.type,dc.publisher,dc.language.iso,dc.description.abstract,dc.date.issued,dc.subject,file.description
buffalo-grazing-in-meadow.jpeg,Buffalo Grazing in Meadow,Photograph,publicdomainpictures.net (https://www.publicdomainpictures.net/en/view-image.php?image=94358&picture=buffalo-grazing-in-meadow),en_US,"Ken Kistler has released this “Buffalo Grazing In Meadow” image under Public Domain license. It means that you can use and modify it for your personal and commercial projects. If you intend to use an image you find here for commercial use, please be aware that some photos do require a model or a property release. Pictures featuring products should be used with care. Note: The issued date is incorrect.",2023-08-30,PublicDomain||Buffalo,"JPEG Image of Ken Kistler's ""Buffalo Grazing in Meadow""."
mother-and-child.jpeg,Mother And Child,Photograph,publicdomainpictures.net (https://www.publicdomainpictures.net/en/view-image.php?image=59036&picture=mother-and-child),en_US,"William Morris has released this “Mother And Child” image under Public Domain license. It means that you can use and modify it for your personal and commercial projects. If you intend to use an image you find here for commercial use, please be aware that some photos do require a model or a property release. Pictures featuring products should be used with care. Note: The issued date is incorrect.",2023-08-30,PublicDomain||Buffalo||Calf,"JPEG Image of William Morris' ""Mother and Child""."
